run,model,seed,phase,step,train_accuracy,test_accuracy,modular_diagonal_power_fraction,hidden_pc1_variance,hidden_pc2_variance,hidden_participation_rank
mlp_p31_f35_wd0.3_seed10,mlp,10,memorization,1500,0.9910714030265808,0.006399999838322401,0.0752958357334137,0.020416997373104095,0.0186200812458992,101.27359008789062
mlp_p31_f35_wd0.3_seed10,mlp,10,final,15000,1.0,0.8256000280380249,0.49055713415145874,0.016271226108074188,0.015468496829271317,106.43185424804688
mlp_p31_f35_wd0.3_seed11,mlp,11,memorization,1600,0.9940476417541504,0.006399999838322401,0.08064969629049301,0.019187884405255318,0.018172038719058037,102.55013275146484
mlp_p31_f35_wd0.3_seed11,mlp,11,final,15000,1.0,0.9312000274658203,0.5502844452857971,0.017592253163456917,0.016573384404182434,101.65089416503906
mlp_p31_f35_wd0.3_seed12,mlp,12,memorization,1500,0.9910714030265808,0.009600000455975533,0.07644499093294144,0.018716566264629364,0.018513603135943413,101.69654083251953
mlp_p31_f35_wd0.3_seed12,mlp,12,final,15000,1.0,0.9344000220298767,0.5468417406082153,0.017921265214681625,0.016887536272406578,102.04531860351562
mlp_p31_f35_wd0.3_seed13,mlp,13,memorization,1500,0.9910714030265808,0.009600000455975533,0.07439740002155304,0.01986238919198513,0.01928734965622425,102.37163543701172
mlp_p31_f35_wd0.3_seed13,mlp,13,final,15000,1.0,0.9103999733924866,0.5265602469444275,0.019496407359838486,0.017639096826314926,102.19674682617188
mlp_p31_f35_wd0.3_seed14,mlp,14,memorization,1400,0.9940476417541504,0.0031999999191612005,0.0665557011961937,0.020335162058472633,0.018974192440509796,101.00822448730469
mlp_p31_f35_wd0.3_seed14,mlp,14,final,15000,1.0,0.8064000010490417,0.4716584384441376,0.01726369746029377,0.016100861132144928,105.3643569946289
kan_p31_f35_wd0.3_seed10,kan,10,memorization,1200,0.9940476417541504,0.06880000233650208,0.17538568377494812,0.1676589697599411,0.13957564532756805,9.810356140136719
kan_p31_f35_wd0.3_seed10,kan,10,final,15000,1.0,0.9760000109672546,0.7150940299034119,0.16523219645023346,0.1454448401927948,9.751708984375
kan_p31_f35_wd0.3_seed11,kan,11,memorization,900,0.9940476417541504,0.04960000142455101,0.1606273651123047,0.16390345990657806,0.13117441534996033,10.3179931640625
kan_p31_f35_wd0.3_seed11,kan,11,generalization,4000,1.0,0.9919999837875366,0.8285776972770691,0.1884870082139969,0.13439084589481354,9.96998119354248
kan_p31_f35_wd0.3_seed11,kan,11,final,15000,1.0,1.0,0.9515184760093689,0.13273435831069946,0.13030864298343658,11.137153625488281
kan_p31_f35_wd0.3_seed12,kan,12,memorization,1100,0.9970238208770752,0.05920000001788139,0.1693481206893921,0.1603957712650299,0.13013839721679688,10.316241264343262
kan_p31_f35_wd0.3_seed12,kan,12,generalization,3600,1.0,0.9904000163078308,0.8362950682640076,0.17037343978881836,0.1352706104516983,9.855937004089355
kan_p31_f35_wd0.3_seed12,kan,12,final,15000,1.0,1.0,0.9775506854057312,0.16298352181911469,0.13167168200016022,9.90807056427002
kan_p31_f35_wd0.3_seed13,kan,13,memorization,900,0.9910714030265808,0.10080000013113022,0.2405652552843094,0.17029500007629395,0.1351984739303589,10.119946479797363
kan_p31_f35_wd0.3_seed13,kan,13,generalization,4600,1.0,0.9904000163078308,0.8269455432891846,0.1907295137643814,0.1652611494064331,8.980602264404297
kan_p31_f35_wd0.3_seed13,kan,13,final,15000,1.0,1.0,0.9163070917129517,0.17215323448181152,0.14835861325263977,9.773857116699219
kan_p31_f35_wd0.3_seed14,kan,14,memorization,1100,0.9970238208770752,0.08160000294446945,0.192186638712883,0.1622123420238495,0.1385881006717682,10.049184799194336
kan_p31_f35_wd0.3_seed14,kan,14,generalization,3400,1.0,0.9968000054359436,0.8047203421592712,0.18928872048854828,0.1651272177696228,9.291398048400879
kan_p31_f35_wd0.3_seed14,kan,14,final,15000,1.0,1.0,0.9630265235900879,0.16551271080970764,0.1440574824810028,10.029732704162598
